ID,T(K),Z*10^-4 reported,Resist(Ohm.cm),Seebeck(uV/K),kappaZT,,Resist(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),x,Formula,series,T_Max,family,,,Conduct(S/cm),Power_Factor*T_(W/mK),preparative_route,final_form,cell_volume(A^3),formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,ICSD_of_structure,temp of ICSD (K),S^2,ke/ktotal,space_group,number_symmetry_elements,,
33,700,NA,0.004865541,77.3734,0.086129175,4,0.012343256,102.591,0.000123042,0.024636562,3.49599,0.0242,Li0.0242Ni0.9758O,LiNiO,NA,NiO,NA,NA,205.527,0.086129175,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,5986.643028,0.10041222,225,192,,
34,1000,NA,0.003874392,79.4948,0.163107473,4,0.012343256,102.591,0.000163107,0.063968983,2.54979,0.0242,Li0.0242Ni0.9758O,LiNiO,NA,NiO,NA,NA,258.105,0.163107473,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,6319.423227,0.246991399,225,192,,
35,300,NA,5.007604258,-572.037,0.001960377,1,2.925074959,-549.121,6.53459E-06,NA,NA,0,CaMnO3,CaBiMnNbO3,NA,CaMnO3,NA,NA,0.199696292,0.001960377,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,327226.3294,NA,62,8,,
36,400,NA,2.925074959,-549.121,0.004123434,1,2.925074959,-549.121,1.03086E-05,0.001247231,3.30607,0,CaMnO3,CaBiMnNbO3,NA,CaMnO3,NA,NA,0.341871581,0.004123434,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,301533.8726,0.000100925,62,8,,
37,700,NA,0.643244379,-477.482,0.02481053,1,2.925074959,-549.121,3.54436E-05,0.012122034,2.04673,0,CaMnO3,CaBiMnNbO3,NA,CaMnO3,NA,NA,1.554619103,0.02481053,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,227989.0603,0.001297333,62,8,,
38,1000,NA,0.110571194,-406.813,0.149674441,1,2.925074959,-549.121,0.000149674,0.089158798,1.67874,0,CaMnO3,CaBiMnNbO3,NA,CaMnO3,NA,NA,9.043946821,0.149674441,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,165496.817,0.013145115,62,8,,
39,300,NA,0.02032591,-100.036,0.014770115,1,0.021537238,-119.206,4.92337E-05,0.005877928,2.51281,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,49.19828908,0.014770115,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,10007.2013,0.014331823,62,8,,
40,400,NA,0.021537238,-119.206,0.02639163,1,0.021537238,-119.206,6.59791E-05,0.011603063,2.27454,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,46.43120983,0.02639163,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,14210.07044,0.019923528,62,8,,
41,700,NA,0.025914331,-184.305,0.091755536,1,0.021537238,-119.206,0.000131079,0.048845628,1.87848,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,38.58868685,0.091755536,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,33968.33303,0.0350866,62,8,,
42,1000,NA,0.026637901,-205.164,0.158016455,1,0.021537238,-119.206,0.000158016,0.091024352,1.73598,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,CaBiMnNbO3,NA,CaMnO3,NA,NA,37.54049545,0.158016455,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,42092.2669,0.052764899,62,8,,
