T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),x,Formula,series,T Max,family,,,Conduct. (S/cm),,Power Factor*T (W/mK),preparative route,final form,Authors,DOI,Comments,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,Author of Unit Cell,Unit Cell DOI,ICSD of structure,temp of ICSD (K),S^2,ke/ktotal,space group,# symmetry elements,,
1000,,0.028478426,206.66,1.4996E-01,4,5.086470,249.37,1.4996E-04,0.02826674,5.30518,0.0066,Li0.0066Ni0.9944O,LixNi1-xO,,NiO,,,3.5114E+01,,1.4996E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,4.2706E+04,0.016150044,225,192,,
400,,0.064272309,116.91,8.5058E-03,4,0.064272,116.91,2.1265E-05,,,0.0184,Li0.0184Ni0.9816O,LixNi1-xO,,NiO,,,1.5559E+01,,8.5058E-03,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,1.3667E+04,,225,192,,
700,,0.019804922,97.88,3.3863E-02,4,0.064272,116.91,4.8375E-05,,,0.0184,Li0.0184Ni0.9816O,LixNi1-xO,,NiO,,,5.0493E+01,,3.3863E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,9.5807E+03,,225,192,,
1000,,0.006660716,105.17,1.6606E-01,4,0.064272,116.91,1.6606E-04,,,0.0184,Li0.0184Ni0.9816O,LixNi1-xO,,NiO,,,1.5013E+02,,1.6606E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,1.1061E+04,,225,192,,
400,,0.012343256,102.59,3.4107E-02,4,0.012343,102.59,8.5269E-05,0.009093419,3.75078,0.0242,Li0.0242Ni0.9758O,LixNi1-xO,,NiO,,,8.1016E+01,,3.4107E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,1.0525E+04,0.021081353,225,192,,
700,,0.004865541,77.37,8.6129E-02,4,0.012343,102.59,1.2304E-04,0.024636562,3.49599,0.0242,Li0.0242Ni0.9758O,LixNi1-xO,,NiO,,,2.0553E+02,,8.6129E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,5.9866E+03,0.10041222,225,192,,
1000,,0.003874392,79.49,1.6311E-01,4,0.012343,102.59,1.6311E-04,0.063968983,2.54979,0.0242,Li0.0242Ni0.9758O,LixNi1-xO,,NiO,,,2.5811E+02,,1.6311E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.3194E+03,0.246991399,225,192,,
300,,5.007604258,-572.04,1.9604E-03,1,2.925075,-549.12,6.5346E-06,,,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,1.9970E-01,,1.9604E-03,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 325 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,3.2723E+05,,62,8,,
400,,2.925074959,-549.12,4.1234E-03,1,2.925075,-549.12,1.0309E-05,0.001247231,3.30607,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,3.4187E-01,,4.1234E-03,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,3.0153E+05,0.000100925,62,8,,
700,,0.643244379,-477.48,2.4811E-02,1,2.925075,-549.12,3.5444E-05,0.012122034,2.04673,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,1.5546E+00,,2.4811E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.2799E+05,0.001297333,62,8,,
